"Club","LastName","FirstName","Pos","BaseSalary","Compensation"
"CLB","Gehrig","Eric","M",46500,46500
"CLB","George","Kevan","M",46500,46500
"RSL","Gil","Luis","M",118750,213833
"POR","Gleeson","Jake","GK",60000,63263
"DAL","Goncalves","Jackson","D",144000,165375
"NE","Goncalves","Jose","D",75000,104375
"DAL","Gonzalez","Jesse","GK",35125,35125
"SEA","Gonzalez","Leonardo","D",135000,135000
"LA","Gonzalez","Omar","D",205000,282000
"SJ","Goodson","Clarence","D",315000,342000
"SJ","Gordon","Alan","F",175000,196666
"RSL","Grabavoy","Ned","M",155000,161666
"COL","Griffiths","Brenton","D",35125,35125
"RSL","Grossman","Cole","M",46500,46500
"CLB","Gruenebaum","Andy","GK",92220,93886
"SEA","Gspurning","Michael","GK",210000,285000
"CHI","Gulley","Kellen","F",65000,79000
"NE","Guy","Ryan","F",48510,48510
"SEA","Hahnemann","Marcus","GK",60000,60000
"TOR","Hall","Jeremy","D",80000,90000
"HOU","Hall","Tally","GK",185000,198500
"DC","Hamid","Bill","GK",75000,89750
"SJ","Harden","Ty","D",65000,68415
"POR","Harrington","Michael","M-D",140000,166833
"COL","Harris","Atiba","M-F",165000,173275
"NY","Hartman","Kevin","GK",46500,54000
"VAN","Harvey","Jordan","D",112500,112500
"DAL","Hassli","Eric","F",237276,262276
"DAL","Hedges","Matt","D",49500,64500
"VAN","Heinemann","Tommy","F",51975,51975
"TOR","Henry","Doneil","D",50000,62083
"NY","Henry","Thierry","F",3750000,4350000
"PHI","Hernandez","Cristhian","M",62500,64375
"SJ","Hernandez","Jason","D",205000,208333
"DAL","Hernandez","Moises","D",46500,48125
"POOL","Herrick","Doug","GK",35125,35125
"VAN","Hertzog","Corey","F",50004,60670
"CLB","Higuain","Federico","M-F",440000,604000
"COL","Hill","Kamani","M",46500,46500
"LA","Hoffman","Chandler","F",71500,97500
"NY","Holgersson","Markus","D",199500,199500
"PHI","Hoppenot","Antoine","F",48400,48400
"POR","Horst","David","D",70000,70000
"NE","Horth","Matthew","F",35125,35125
"CLB","Horton","Aaron","F",65000,80500
"VAN","Hurtado","Erik","F/M",46500,81500
"SEA","Hurtado","Jhon Kennedy","D",190000,190000
"CLB","Hyland","Kyle","D",35125,35125
"SEA","Ianni","Patrick","D",150000,150000
"DC","Iapichino","Dennis","D",110000,110000
"DAL","Ihemelu","Ugo","D",2e+05,2e+05
"NE","Imbongo","Dimitry","F",90000,99875
"CHV","Iraheta","Marvin","M",46500,46500
"COL","Irwin","Clint","GK",35125,35125
"DAL","Jacobson","Andrew","M",122500,135000
"SJ","Jahn","Adam","F",35125,35125
"DC","Jakovic","Dejan","D",280000,303341
"CHV","Jazic","Ante","D",132187,132187
"POR","Jean-Baptiste","Andrew","D",65000,80000
"DC","Jeffrey","Jared","M",54000,60200
"POR","Jewsbury","Jack","D",185000,194750
"LA","Jimenez","Hector","M",46500,46500
"DAL","John","George","D",275000,301666
"SEA","Johnson","Eddie","F",150000,156333
"HOU","Johnson","Jason","F",70000,111000
"POR","Johnson","Ryan","M",144704,144704
"CHI","Johnson","Sean","GK",120000,153000
"POR","Johnson","Will","F",243750,243750
"PHI","Jordan","Greg","M",46500,46500
"KC","Joseph","Peterson","M",46500,46500
"SEA","Joseph","Shalrie","M",60000,105500
"CHI","Jumper","Hunter","D",35125,35125
"LA","Vitor","Gomes Pereira Junior","M",290000,290000
"POR","Kah","Pa Modou","D",63999,68999
"CHI","Kann","Alec","GK",35125,35125
"PHI","Kassel","Matt","M",46500,46500
"LA","Keane","Robbie","F",4e+06,4333333
"DAL","Keel","Stephen","D",46500,46500
"DC","Kemp","Taylor","D",35125,35125
"KC","Kempin","Jonathan","GK",60000,67083
"CHV","Kennedy","Dan","GK",192500,194166
"NY","Kimura","Kosuke","D",1e+05,1e+05
"COL","Kindle","Kory","D",35125,35125
"CHI","King","Brendan","M",35125,35125
"CHI","Kinney","Steven","D",46500,46500
"DC","Kitchen","Perry","D",105000,190450
"VAN","Klazura","Greg","D",46500,46500
"PHI","Kleberson","Jose","M",495000,495000
"COL","Klute","Chris","D",46500,46500
"VAN","Knighton","Brad","GK",66000,68600
"VAN","Kobayashi","Daigo","M",225000,238833
"POR","Kocic","Milos","GK",49612,49612
"TOR","Koevermans","Danny","F",1250000,1663323
"VAN","Koffie","Gershon","M",165000,176000
"TOR","Konopka","Chris","GK",46500,46500
"DC","Korb","Chris","D",49613,49613
"KC","Kronberg","Eric","GK",76835,76835
"TOR","Laba","Matias","M",2e+05,2e+05
"COL","LaBrocca","Nick","M",120000,138333
"NY","Lade","Connor","D",55000,59213
"PHI","Lahoud","Michael","M",90000,93333
"TOR","Lambe","Reggie","M",67500,70000
"CLB","Lampson","Matt","GK",46500,46500
"CHI","Larentowicz","Jeff","D",225000,231000
"NE","Latigue","Gabe","M",35125,35125
"PHI","Le Toux","Sebastian","M",2e+05,212812
"MTL","Lefevre","Wandrille","M",35125,35125
"SJ","Lenhart","Steven","F",210000,217500
"VAN","Leveron","Johnny","D",60000,71187
"CHI","Lindpere","Joel","M",180000,205000
"HOU","Lopez","Alexander","M",192000,212000
"RSL","Lopez","Benjamin","F",35125,37730
"KC","Lopez","Mikey","M",75000,147000
"DAL","Loyd","Zach","M",92372,136997
"DAL","Luccin","Peter","M",90000,131000
"SEA","Lund","Philip","M",35125,35125
"NY","Luyindula","Peguy","F",79999,79999
"PHI","MacMath","Zac","GK",110000,155000
"CHI","Magee","Mike","F",185000,191666
"MTL","Mallace","Calum","M",47300,62300
"VAN","Manneh","Kekuta","F",55000,84500
"RSL","Mansally","Kenny","F",50000,57000
"MTL","Mapp","Justin","M",125000,137500
"HOU","Marscheider","Erich","GK",46500,46500
"CLB","Marshall","Chad","D",330000,361250
"DC","Martin","Collin","M",35125,49291
"RSL","Martinez","Enzo","M",71500,97500
"SJ","Martinez","Walter","M-F",90000,90000
"MTL","Martins","Felipe","M",150000,182500
"SEA","Martins","Obafemi","F",1600000,1725000
"LA","Mastroeni","Pablo","M-D",150000,2e+05
"VAN","Mattocks","Darren","F",120000,212000
"RSL","Maund","Aaron","D",35125,43458
"LA","McBean","Jack","F",80000,101000
"NE","McCarthy","Stephen","M",87120,118370
"NY","McCarty","Dax","M",180000,222500
"RSL","McDonald","Brandon","M",235000,273250
"SJ","McGlynn","Peter","D",35125,35125
"PHI","McInerney","Jack","F",125500,189666
"POR","McKenzie","Rauwshan","D",46500,46500
"CHV","McLain","Patrick","GK",46500,46500
"PHI","McLaughlin","James","M",60000,69000
"NY","Meara","Ryan","GK",65000,66250
"KC","Mechack","Jerome","D",35125,35125
"KC","Medranda","Jimmy","M",35125,35125
"CHV","Mejia","Edgar","M",140000,140000
"CHV","Melia","Tim","GK",60000,65000
"COL","Mera","German","D",46500,46500
"CLB","Meram","Justin","F",56320,80695
"MTL","Messoudi","Zakaria","M",35125,35125
"LA","Meyer","Tommy","D",47300,61050
"NY","Miazga","Matt","D",60000,66250
"VAN","Miller","Kenny","F",1114992,1124992
"KC","Miller","Kyle","M",35125,35125
"NY","Miller","Roy","M",123745,123745
"POR","Miller","Ryan","D",60000,65000
"CHV","Minda","Oswaldo","M",125000,143750
"VAN","Mitchell","Carlyle","D",46500,46500
"SEA","Moffat","Adam","M",150000,161608
"SEA","Montero","Fredy","F",7e+05,856000
"COL","Moor","Drew","D",235000,247000
"RSL","Morales","Javier","M",3e+05,3e+05
"CHV","Morales","Julio","F",35125,35125
"NY","Moreno","Amando","F",35125,35125
"TOR","Morgan","Ashtone","D",60000,72000
"SJ","Morrow","Justin","D",130000,139562
"COL","Mullan","Brian","M",162000,170335
"SJ","Muller","Tommy","D",35125,35125
"RSL","Muniz","Nico","M",46500,48500
"COL","Mwanga","Danny","F",130000,171250
"KC","Myers","Chance","D-M",105000,120666
"KC","Nagamura","Paulo","M",265000,270500
"POR","Nagbe","Darlington","M/F",130000,266000
"POR","Nanchoff","Michael","M",46500,46500
"SEA","Neagle","Lamar","M",48400,48400
"DC","Neal","Lewis","M",90000,96440
"DAL","Neres da Cruz","Erick","M",84000,85875
"MTL","Nesta","Alessandro","D",260000,305000
"SJ","Newton","Evan","GK",46500,46500
"NE","Nguyen","Lee","M/F",73600,80100
"KC","Nielsen","Jimmy","GK",2e+05,220000
"PHI","Nikolov","Oka","GK",46500,46500
"DAL","Nunez","Ramon","M",65000,75000
"CHI","Nyarko","Patrick","F",230000,249500
"DC","Nyassi","Sainey","M",88200,94950
"MTL","Nyassi","Sanna","M",140000,147625
"NY","Obekop","Marius","M",35125,35125
"VAN","O'Brien","Andy","D",200012,230012
"CLB","Oduro","Dominic","F",120015,122015
"PHI","Okugo","Amobi","M",101250,184250
"NY","Olave","Jamison","D",275000,325000
"KC","Olum","Lawrence","M/D",46500,46500
"COL","O'Neill","Shane","M",49350,60850
"KC","Opara","Ike","D",90000,96250
"LA","Opare","Kofi","D",35125,35125
"CLB","O'Rourke","Danny","D",170000,175000
"TOR","Osorio","Jonathan","M",46500,46500
"MTL","Ouimette","Karl","D",46500,46500
"VAN","Ousted","David","GK",150000,166156
"HOU","Ownby","Brian","M",46500,46500
"DC","Pajoy","Lionard","F",190000,205000
"CHI","Paladini","Daniel","M",86625,91103
"RSL","Palmer","Lovel","M",67000,71500
"KC","Palmer-Brown","Erik","D",35125,35625
"MTL","Paponi","Daniele","F",72000,87000
"PHI","Parke","Jeff","D",205000,216500
"CHI","Pause","Logan","M",180000,197833
"NY","Pearce","Heath","D",331236,340736
"LA","Penedo","Jaime","GK",78000,81562
"DAL","Pereira","Michel","M/D",60000,81500
"DAL","Perez","Blas","F",3e+05,324250
"LA","Perk","Brian","GK",55000,58125
"MTL","Perkins","Troy","GK",225000,246833
"KC","Peterson","Jacob","F",1e+05,104833
"PHI","Pfeffer","Zach","M",65000,75000
"COL","Pickens","Matt","GK",190000,212933
"CHI","Pineda","Victor","M",46500,53242
"POR","Piquionne","Frederic","F",142000,150000
"MTL","Pisanu","Andrea","F",1e+05,148000
"RSL","Plata","Joao","F",60000,60000
"NE","Polak","Tyler","D",65000,78000
"DC","Pontius","Chris","M-F",330000,361000
"DC","Porter","Kyle","M",46500,54992
"POR","Powell","Alvas","D",35400,35400
"COL","Powers","Dillon","M",46500,79000
"CHI","Puppo","Federico","F",125000,125000
"CHV","Purdy","Steven","D",80004,80004
"NE","Reis","Matt","GK",165000,167666
"SEA","Remick","Dylan","D",35125,35125
"VAN","Reo-Coker","Nigel","D-M",2e+05,237362
"TOR","Rey","Alvaro","F",180000,204450
"LA","Ribeiro Da Silva","Leonardo","D",95000,95000
"POR","Richards","Brent","F",65625,73992
"TOR","Richter","Ryan","F",35125,35125
"POR","Ricketts","Donovan","GK",275000,3e+05
"DC","Riley","James","D",140000,145750
"RSL","Rimando","Nick","GK",2e+05,210833
"POR","Rincon","Sebastian","F",46500,46500
"POR","Ring","Brad","M",46500,46500
"CHI","Rios","Egidio","M",768000,768000
"MTL","Rivas","Nelson","D",75000,75000
"CHV","Rivera","Jose Manuel","F",116000,116000
"COL","Rivero","Martin","M",75000,75000
"TOR","Roberts","Quillan","GK",46500,46500
"NY","Robles","Luis","GK",75000,77500
"MTL","Rodriguez","Adrian Lopez","D",180000,180000
"MTL","Rodriguez","Maximiliano","M",35125,35125
"LA","Rogers","Robbie","F",90000,90000
"CHI","Rolfe","Chris","F",225000,248333
"MTL","Romero","Andres","F",48000,48000
"SEA","Rosales","Mauro","M",2e+05,225000
"SEA","Rose","Andy","M",46500,46500
"KC","Rosell","Oriol","M",110000,118750
"LA","Rowe","Brian","GK",46500,46500
"NE","Rowe","Kelyn","M",90000,171000
"LA","Rugg","Charlie","F",35125,35125
"KC","Ruiz","Brendan","D",35125,35125
"DC","Ruiz","Carlos","F",75000,75000
"VAN","Rusin","Brad","D",120000,120000
"TOR","Russell","Darel","M",99999,109874
