"","Vote 1","Vote 2","Vote 3","Vote 4","Vote 5","Vote 6","Vote 7","Vote 8","Vote 9","Vote 10","Vote 11","Vote 12","Vote 13","Vote 14","Vote 15","Vote 16","Vote 17","Vote 18","Vote 19","Vote 20","Vote 21","Vote 22","Vote 23","Vote 24","Vote 25","Vote 26","Vote 27","Vote 28","Vote 29","Vote 30","Vote 31","Vote 32","Vote 33","Vote 34","Vote 35","Vote 36","Vote 37","Vote 38","Vote 39","Vote 40","Vote 41","Vote 42","Vote 43","Vote 44","Vote 45","Vote 46","Vote 47","Vote 48","Vote 49","Vote 50","Vote 51","Vote 52","Vote 53","Vote 54","Vote 55","Vote 56","Vote 57","Vote 58","Vote 59","Vote 60","Vote 61","Vote 62","Vote 63","Vote 64","Vote 65","Vote 66","Vote 67","Vote 68","Vote 69","Vote 70","Vote 71","Vote 72"
"FOSS (R MA-3)",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,1,1,1,0,1,1,NA,1,NA,1,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,NA,1,0,NA,0,0,1,0,1,NA,1
"STOBBS (R MA-4)",1,0,0,0,0,0,1,NA,1,0,1,0,1,1,0,NA,1,1,0,NA,NA,NA,NA,NA,0,NA,1,1,0,NA,1,1,0,1,1,0,1,NA,NA,NA,1,0,1,NA,1,1,1,0,0,0,1,0,1,0,1,0,NA,NA,0,0,NA,NA,1,1,0,0,0,1,0,0,1,1
"ROGERS (R MA-5)",1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,NA,1,0,0,0,0,1,0,1,1,1
"ANDREW (R MA-6)",1,0,0,0,0,0,1,1,1,0,1,NA,NA,NA,NA,NA,1,1,0,1,1,0,1,1,1,1,1,0,0,1,NA,NA,0,1,1,NA,1,NA,NA,NA,1,0,1,NA,NA,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,NA,NA,1,0,NA,NA,NA,1,0,0,1,1
"CONNERY (D MA-7)",1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,NA,NA,NA,1,NA,NA,NA,1,1,1,0,1,1,0,0,1,NA,NA,1,NA,0,1,1,0,0,0,1,0,1,0,1,1,1,1,0,NA,0,1,NA,1,0,0,1,0,1,1,NA,1,1,1,0,0,1,1
"DALLINGER (R MA-8)",1,0,0,0,0,0,1,1,1,0,1,1,1,1,NA,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,NA,0,NA,NA,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,NA
"UNDERHILL (R MA-9)",1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,NA,0,0,1,1,0,1,NA,NA,NA,NA,NA,1,NA,1,0,1,0,1,1,1,0,0,0,0,NA,1,0,1,0,0,0,0,0,NA,0,1,0,NA,0,NA,1,0,1,1,1
"DOUGLASS (D MA-10)",1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,NA,1,1,0,1,1,1,1,1,1,1,NA,1,0,NA,NA,NA,0,1,1,NA,0,NA,0,1,1,0,NA,0,1,NA,NA,0,1,1,1,1,0,1,0,1,NA,NA,0,0,NA,0,1,NA,1,1,1,NA,0,0,1,1
"TINKHAM (R MA-11)",1,0,0,0,0,1,1,NA,1,NA,NA,1,1,1,0,0,0,1,0,1,0,1,1,1,NA,1,1,0,NA,NA,NA,1,0,1,1,NA,1,0,1,0,1,0,NA,0,1,0,1,NA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,NA,1,NA,1,0,0,1,NA
"GALLIVAN (D MA-12)",1,0,1,1,1,0,1,1,0,NA,NA,1,NA,NA,0,NA,1,1,0,NA,1,1,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MC (D MA-12)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1
"LUCE (R MA-13)",1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1
"FROTHINGHAM (R MA-14)",1,0,0,0,0,0,1,NA,1,0,1,0,1,1,NA,NA,1,1,0,1,1,0,1,1,0,1,NA,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WIGGLESWORT (R MA-14)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1
"MARTIN (R MA-15)",1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,NA,1,1,0,1,1,0,1,1,1,1,1,NA,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1
"GIFFORD (R MA-16)",1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,NA,1,1,0,1,1,0,1,1,1,1,1,1,0,NA,1,1,0,1,1,1,1,0,1,0,1,0,NA,0,1,1,1,0,1,1,NA,0,0,0,1,1,0,0,0,0,0,0,1,1,NA,0,NA,1,0,1,NA,1
"CLANCY (R MI-1)",1,0,0,0,1,0,1,NA,1,NA,1,0,1,1,0,NA,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,NA,1,0,1,0,1,0,NA,0,NA,NA,1,0,NA,1,NA,1,0,1,1,NA,NA,NA,NA,0,NA,1,1,NA,0,0,1,NA,0,0,NA,NA
"MICHENER (R MI-2)",1,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1
"HOOPER (R MI-3)",1,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,NA,1,1,0,1,1,0,1,1,1,0,1,1,1,0,NA,NA,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1
"KETCHAM (R MI-4)",1,0,1,0,1,0,1,1,1,0,1,NA,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,NA,NA,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1
"MAPES (R MI-5)",1,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1
"HUDSON (R MI-6)",1,0,0,0,1,0,1,NA,1,0,NA,0,1,1,0,0,0,1,0,NA,NA,NA,NA,1,0,1,1,1,0,1,1,NA,NA,1,1,0,1,0,1,0,0,1,0,1,NA,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,NA,0,0,1,0,1,NA,NA
"CRAMTON (R MI-7)",1,0,0,0,1,0,1,1,1,1,1,0,1,1,NA,0,0,NA,0,1,1,0,1,1,NA,1,NA,NA,0,NA,1,NA,0,1,1,0,1,NA,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1
"VINCENT (R MI-8)",1,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,NA,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,NA,1,NA,1,1,0,NA,0,0,0,0,1,1,1,0,0,1,0,1,1,1
"MC (R MI-9)",1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,NA,1,NA,NA,NA,NA,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,NA,NA,1,NA,NA,NA,NA,1,0,1,1,1
"WOODRUFF (R MI-10)",1,NA,1,0,1,0,1,1,1,0,1,NA,NA,1,0,0,1,1,0,1,1,0,1,1,NA,1,1,1,1,1,NA,NA,0,NA,NA,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,NA,1,0,1,1,NA,0,NA,NA,0,0,NA,NA,NA,0,0,0,1,0,1,1,1
"BOHN (R MI-11)",1,0,1,0,1,0,1,1,1,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,1,1,1,NA,NA,NA,0,1,0,1,0,1,1,NA,1,1,1,1,0,1,1,0,0,1,1,1,NA,0,0,0,0,0,0,1,NA,0,0,0,1,0,1,1,1
"JAMES (R MI-12)",1,0,0,0,1,0,0,NA,1,NA,NA,NA,1,1,NA,NA,1,1,0,1,NA,NA,1,NA,NA,NA,NA,1,0,1,NA,0,NA,NA,NA,NA,NA,NA,1,0,0,1,0,1,NA,1,1,0,1,1,0,1,0,NA,1,1,0,0,0,0,NA,NA,1,NA,NA,NA,1,NA,0,NA,NA,NA
"MC (R MI-13)",1,0,0,0,1,0,1,NA,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,NA,0,1,1,1,0,1,1,1,1,0,0,NA,1,0,0,0,0,0,NA,1,1,0,0,0,NA,0,0,1,1
"FURLOW (R MN-1)",1,0,1,0,0,0,1,1,1,0,1,NA,1,1,0,0,1,1,0,1,1,0,1,1,NA,1,1,1,0,1,1,1,0,1,1,1,1,NA,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,NA,NA,1,0,NA,1,0,1,NA,1
"CLAGUE (R MN-2)",NA,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,NA,1,1,1,1,0,NA,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,NA,0,1,NA,0,NA,0,1,0,1,1,1
"ANDRESEN (R MN-3)",1,0,1,1,0,0,1,1,1,0,1,0,1,1,0,NA,0,0,0,1,NA,0,1,1,0,1,1,1,1,1,NA,0,0,1,NA,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,NA,1,0,1,0,0,NA,0,1,1,1
"MAAS (R MN-4)",1,0,1,0,0,0,1,1,1,0,1,0,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1,1,1,NA,NA,NA,NA,1,1,1,0,1,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0
"NEWTON (R MN-5)",1,0,0,0,0,0,1,1,1,0,1,0,NA,1,0,0,0,0,0,NA,1,0,1,1,NA,1,1,1,0,1,1,1,0,1,1,0,1,NA,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,NA,1,1,0,0,0,1,0,1,1,1
"KNUTSON (R MN-6)",1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,NA,1,1,0,NA,NA,NA,NA,NA,1,1,NA,0,1,1,1,1,0,1,1,0,1,NA,1,0,0,1,1,1,0,1,0,1,1,1,0,0,1,1,0,NA,0,0,0,1,0,NA,1,NA,0,0,0,1,0,0,1,1
"KVALE (Farmer-Labor MN-7)",NA,1,1,1,1,1,0,0,0,1,1,1,1,NA,NA,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,NA,0,1,1,1,1,NA,NA,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,NA,1,1,NA,0,NA,0,0,0,NA,NA,NA,NA,0,1,1,1
"CARSS (Farmer-Labor MN-8)",NA,1,1,1,1,0,1,1,0,1,1,1,NA,1,1,0,0,1,1,1,1,0,1,0,1,0,NA,1,1,0,0,0,0,0,0,NA,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,NA,1,0,1,0,0,1,1,1,NA,1,1,1,0,1
"SELVIG (R MN-9)",1,0,1,1,1,0,1,1,1,0,1,NA,NA,1,NA,0,0,0,0,1,NA,0,NA,1,0,1,1,1,1,1,1,1,0,NA,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,NA,0,0,0,1,0,1,1,1
"GOODWIN (R MN-10)",1,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,1,NA,NA,1,1,0,1,1,1,NA,1,1,0,1,0,1,0,0,1,NA,1,1,1,0,1,1,1,1,1,1,0,1,NA,0,0,0,0,NA,0,1,NA,0,0,0,1,0,1,1,1
"RANKIN (D MS-1)",1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0
"LOWREY (D MS-2)",1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,NA,0,0,1,1,1,0,NA,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,NA,1,1,0,0
"WHITTINGTON (D MS-3)",1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,NA,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,NA,0,1,0,1,1,0,0,1,1,0,1,NA,1,1,0,0
"BUSBY (D MS-4)",1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,NA,1,0,1,0,NA,1,1,1,0,0,1,0,0,0,0,NA,0,1,0,1,0,1,0,1,1,1,1,1,NA,1,1,0,0,0,0,1,1,1,1,NA,0,1,1,1,1,1,1,1,0,0
"COLLINS (D MS-5)",1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,NA,0,1,1,0,0,1,1,NA,0,1,0,NA,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,NA,0,0,0,NA,1,1,1,1,NA,0
"WILSON (D MS-6)",1,1,1,1,1,0,1,NA,0,NA,1,1,1,1,1,0,1,1,1,NA,NA,0,1,0,NA,0,1,NA,1,1,0,0,NA,0,0,1,0,NA,0,1,0,1,0,0,NA,NA,NA,1,NA,NA,NA,1,NA,NA,0,NA,NA,NA,1,NA,1,NA,0,1,1,0,1,1,1,1,NA,0
"QUIN (D MS-7)",1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0
"COLLIER (D MS-8)",1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,NA,1,0,1,1,1,1,0,0
"ROMJUE (D MO-1)",1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,NA,1,1,NA,NA,1,0,1,0,1,NA,NA,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,NA,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0
"LOZIER (D MO-2)",1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,NA,NA,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,NA,0,NA,NA,1,1,0,1,1,1,0
"MILLIGAN (D MO-3)",1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,NA,0,NA,0,1,1,0,0,1,0,0,1,1,NA,0,1,0,1,0,1,1,1,NA,1,1,1,0,1,1,1,0,0,NA,NA,NA,1,1,NA,0,1,1,NA,NA,NA,1,1,1,0
"FAUST (R MO-4)",1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,NA,NA,1,1,NA,1,NA,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,NA,1,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPKINS (R MO-4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"COMBS (D MO-5)",1,NA,1,1,1,0,NA,1,0,0,1,1,1,1,0,0,1,1,1,NA,1,1,1,1,NA,1,NA,1,NA,NA,0,0,0,NA,1,NA,NA,NA,0,1,NA,NA,0,0,1,0,0,1,1,1,1,1,0,1,NA,NA,0,1,0,1,NA,0,1,NA,NA,1,NA,1,0,0,1,1
"DICKINSON (D MO-6)",1,1,1,1,1,0,1,1,0,1,NA,1,1,1,1,0,1,1,1,1,NA,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,NA,NA,NA,1,NA,0,0,1,1,0,1,0,1,1,NA,NA
"MAJOR (D MO-7)",1,1,1,1,1,0,1,1,0,0,1,1,NA,NA,NA,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,NA,0,0,1,1,0,1,0,1,1,1,0
"NELSON (D MO-8)",1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1
"CANNON (D MO-9)",1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,NA,NA,1,1,1,0,0,1,0,NA,1,1,1,1,NA
"NIEDRINGHAU (R MO-10)",1,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1
"COCHRAN (D MO-11)",1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1
"DYER (R MO-12)",1,0,0,0,1,NA,1,1,1,0,1,1,1,1,0,0,1,NA,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,NA,1,1,1,0,NA,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,NA,0,1,1,NA,0,0,1,0,0,1,1
"WILLIAMS (D MO-13)",1,1,1,1,1,0,1,0,0,1,1,1,1,NA,1,0,NA,NA,NA,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,NA,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0
"FULBRIGHT (D MO-14)",1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,NA,1,1,1,1,1,0,1,0,1,1,NA,1,1,1,0,0,1,1,NA,1,0,0,0,1,0,1,NA,1,1,1,1,1,1,1,1,1,0,1,NA,NA,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MANLOVE (R MO-15)",NA,NA,0,0,NA,0,1,1,1,0,1,NA,1,1,0,0,1,1,0,NA,1,0,1,NA,NA,1,1,1,1,1,1,1,0,NA,1,0,1,NA,0,1,0,1,NA,1,NA,NA,NA,NA,1,1,NA,1,0,1,1,1,0,0,0,1,0,NA,0,1,NA,0,1,1,0,1,1,0
"RUBEY (D MO-16)",1,1,1,1,1,0,1,NA,0,1,1,NA,1,1,1,0,1,1,1,1,1,0,NA,0,1,1,1,1,1,1,NA,0,1,NA,NA,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EVANS (D MT-1)",1,0,1,1,1,0,1,1,0,1,1,NA,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,NA,0,1,0,1,NA,1,1,1,1,0,1,1,1,1,0,1,NA,1,NA,NA,NA,NA,NA,1,0,NA,NA,0,1,0,1,NA,1,0
"LEAVITT (R MT-2)",1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,NA,0,NA,1,0,1,1,0,1,1,NA,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1
"MOREHEAD (D NE-1)",1,1,1,1,1,0,1,0,0,NA,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1
"SEARS (R NE-2)",1,0,0,0,0,0,1,1,1,0,1,1,NA,1,1,NA,1,1,0,1,1,NA,1,1,0,NA,1,1,1,1,NA,1,0,NA,1,0,NA,NA,1,0,0,1,0,1,1,1,1,NA,1,1,1,1,0,1,1,NA,NA,NA,0,1,0,0,1,1,NA,NA,1,1,0,1,1,1
"HOWARD (D NE-3)",1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,NA,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1
"NORTON (D NE-4)",1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1
"SHALLENBERG (D NE-5)",1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,NA,NA,NA,NA,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,NA,1,1,1,0,1,0,1,0,1,1,1,0,1,NA,NA,0,1,NA,NA,1,1,1,1,1,1
"SIMMONS (R NE-6)",1,0,0,0,0,1,0,NA,1,1,1,NA,1,1,1,0,1,1,0,1,1,0,1,1,0,NA,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,NA,1,1,0,0,0,1,1,0,1,1,1
"ARENTZ (R NV-1)",1,0,0,0,0,0,1,1,1,0,1,0,NA,1,NA,0,1,1,0,1,1,0,1,1,0,1,1,NA,1,1,1,NA,0,1,1,0,1,NA,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,0,1,1,0,1,1,0
"HALE (R NH-1)",1,0,0,0,0,1,0,1,1,0,1,NA,1,NA,0,NA,1,1,0,1,1,0,1,1,NA,1,1,0,0,1,1,1,0,NA,NA,NA,1,0,1,0,1,0,1,0,0,1,1,1,0,0,NA,0,1,0,NA,0,0,0,0,0,NA,0,1,0,0,0,0,1,0,0,1,1
"WASON (R NH-2)",1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,NA,NA,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1
"WOLVERTON (R NJ-1)",1,0,0,0,0,1,1,NA,1,0,1,0,NA,NA,0,0,1,1,0,1,1,0,NA,1,NA,1,1,1,0,1,1,1,0,1,1,0,NA,0,1,1,1,0,1,0,NA,NA,1,0,1,1,1,0,1,0,1,NA,0,NA,0,0,1,NA,1,0,0,0,1,1,0,1,1,1
"BACHARACH (R NJ-2)",1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,NA,0,1,1,NA,1,1,0,0,1,NA,NA,0,1,1,0,1,1,1,0,1,0,NA,0,NA,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,NA,1,NA,0,NA,0,1,0,0,1,1
"HOFFMAN (R NJ-3)",1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,NA,NA,NA,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0,NA,0,NA,NA,1,0,NA,0,NA,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,NA,NA,1,NA,0,0,0,1,0,1,1,1
"EATON (R NJ-4)",1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,NA,NA,NA,NA,1,0,1,1,0,1,NA,0,0,NA,1,1,0,1,1,0,1,0,NA,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,1,NA,1,NA,0,0,0,0,NA,NA,1,NA,NA,0,NA,1,NA,1,1,0
